name,id,continent,age,contract_until,position,prefer_foot,reputation,stat_overall,stat_potential,stat_skill_moves,value
Gerard Moreno,174,2,26,2023,1,1,1,83,85,4,32000000
Felipe,175,4,29,2021,3,0,3,83,83,2,20000000
M. Kovačić,176,2,24,2019,2,0,3,83,89,4,35000000
Manu Trigueros,178,2,26,2022,2,0,2,83,84,4,30000000
S. Gnabry,179,2,22,2020,1,0,2,83,88,4,34500000
Felipe Anderson,185,4,25,2022,2,0,3,83,85,4,31500000
Nacho Fernández,188,2,28,2021,3,0,2,83,85,2,24500000
T. Horn,189,2,25,2023,0,1,2,83,87,1,24000000
Allan,190,4,27,2023,2,0,2,83,83,4,26500000
F. Acerbi,191,2,30,2023,3,1,2,83,83,3,19000000
K. Kampl,195,2,27,2021,2,0,2,83,83,3,26500000
Neto,196,4,28,2021,0,0,2,83,84,1,21000000
O. Baumann,197,2,28,2021,0,0,2,83,84,1,21000000
I. Gueye,198,0,28,2022,2,0,2,83,83,3,21000000
H. Mkhitaryan,199,2,29,2021,2,0,3,83,83,4,25500000
K. Glik,202,2,30,2021,3,0,3,83,83,2,19000000
K. Strootman,203,2,28,2023,2,1,3,83,83,3,21000000
Oscar,205,4,26,2020,2,0,3,83,84,4,30500000
Luiz Gustavo,207,4,30,2021,3,1,3,83,83,3,19000000
David Luiz,209,4,31,2019,3,0,4,83,83,3,17500000
R. Fährmann,210,2,29,2022,0,0,2,83,84,1,20000000
Juan Mata,211,2,30,2019,2,1,3,83,83,4,24500000
Adán,212,2,31,2020,0,1,2,83,83,1,15500000
Rui Patrício,213,2,30,2022,0,1,3,83,83,1,16500000
Y. Sommer,214,2,29,2021,0,0,3,83,84,1,20000000
Javi Martínez,215,2,29,2021,2,0,3,83,83,2,20000000
L. Bender,216,2,29,2021,3,0,3,83,83,2,20000000
Lucas Leiva,217,4,31,2020,2,0,3,83,83,3,17500000
S. Mandanda,218,2,33,2020,0,0,3,83,83,1,13000000
M. Dembélé,220,2,30,2019,2,1,3,83,83,4,24000000
R. Jarstein,222,2,33,2021,0,0,2,83,83,1,13000000
D. De Rossi,223,2,34,2019,2,0,3,83,83,2,8000000
Pepe Reina,224,2,35,2021,0,0,3,83,83,1,6000000
J. Pavlenka,225,2,26,2021,0,0,1,82,85,1,19500000
M. de Ligt,226,2,18,2021,3,0,2,82,91,2,27000000
Arthur,228,4,21,2024,2,0,1,82,90,4,32500000
G. Donnarumma,229,2,19,2021,0,0,3,82,93,1,29000000
Rosberto Dourado,230,4,30,2018,2,0,1,82,82,2,16500000
Raphaelito Anjos,232,4,30,2021,0,0,1,82,82,1,14000000
Gonçalo Guedes,234,2,21,2024,2,0,1,82,86,4,29000000
Malcom,236,4,21,2023,1,1,2,82,89,4,31500000
A. Kramarić,240,2,27,2022,2,0,2,82,83,4,26000000
Dani García,242,2,28,2022,2,0,2,82,83,3,20000000
F. Bernardeschi,243,2,24,2022,2,1,2,82,87,5,29500000
J. Brandt,244,2,22,2021,2,0,2,82,88,4,30500000
D. Rugani,245,2,23,2021,3,0,2,82,86,2,24500000
Samu Castillejo,246,2,23,2023,2,1,2,82,86,4,29000000
João Cancelo,247,2,24,2023,3,0,2,82,88,4,25500000
A. Romagnoli,248,2,23,2022,3,1,2,82,89,2,26500000
T. Partey,249,0,25,2023,2,0,1,82,88,3,25500000
Fred,250,4,25,2023,2,1,1,82,84,4,26500000
A. Belotti,252,2,24,2021,1,0,3,82,87,3,30000000
E. Forsberg,253,2,26,2022,2,0,2,82,83,4,26000000
A. Rüdiger,257,2,25,2022,3,0,2,82,84,2,22500000
S. Sané,261,0,27,2022,3,0,2,82,82,3,18500000
Rafinha,263,4,25,2020,2,1,2,82,87,4,29500000
Gabriel Paulista,264,4,27,2022,3,0,2,82,83,2,21000000
Morata,265,2,25,2022,1,0,3,82,85,3,28500000
J. Cillessen,266,2,29,2021,0,0,3,82,84,1,18000000
W. Ben Yedder,267,2,27,2021,1,0,2,82,82,4,23500000
C. Bakambu,268,0,27,2021,1,0,2,82,83,3,26000000
Pablo Sarabia,269,2,26,2020,2,1,2,82,83,4,26000000
Luis Alberto,271,2,25,2022,1,0,2,82,85,4,28500000
S. Coates,274,4,27,2022,3,0,3,82,83,2,21000000
Víctor Ruiz,277,2,29,2019,3,1,2,82,83,2,19500000
T. Delaney,278,2,26,2022,2,1,2,82,83,3,21500000
M. Götze,280,2,26,2020,2,0,4,82,85,4,27000000
J. Pastore,282,4,29,2022,2,0,3,82,82,4,21500000
Pedro,283,2,30,2020,1,0,3,82,82,4,21000000
R. Bürki,285,2,27,2021,0,0,3,82,85,1,18500000
S. Nzonzi,287,2,29,2022,2,0,2,82,82,2,17000000
Marlos,288,2,30,2019,2,1,2,82,82,5,21000000
A. Kolarov,291,2,32,2020,3,1,2,82,82,3,12500000
S. Giovinco,293,2,31,2019,1,0,2,82,82,4,20000000
M. Arnautović,294,2,29,2022,1,0,3,82,82,4,22000000
N. Gaitán,295,4,30,2021,2,1,3,82,82,4,21000000
M. Kruse,297,2,30,2019,1,1,2,82,82,4,21500000
M. Parolo,298,2,33,2020,2,0,2,82,82,3,9000000
L. Fejsa,299,2,29,2021,2,0,2,82,82,2,17000000
G. Wijnaldum,302,2,27,2021,2,0,3,82,82,4,23000000
Marcano,305,2,31,2021,3,1,3,82,82,2,15000000
E. Garay,307,4,31,2020,3,0,3,82,82,2,15000000
Jardel,308,4,32,2021,3,0,2,82,82,2,12500000
S. Sirigu,309,2,31,2022,0,0,3,82,82,1,13500000
E. Viviano,310,2,32,2020,0,1,2,82,82,1,12500000
L. Koscielny,311,2,32,2020,3,0,3,82,82,2,12500000
A. Consigli,312,2,31,2022,0,0,2,82,82,1,13500000
L. Biglia,313,4,32,2020,2,0,3,82,82,3,12500000
Dani Alves,314,4,35,2019,3,0,4,82,82,4,4800000
Aduriz,316,2,37,2019,1,0,3,82,82,3,8000000
P. Čech,317,2,36,2019,0,1,4,82,82,1,3000000
Nélson Semedo,324,2,24,2022,3,0,2,81,86,4,20000000
Pablo Fornals,325,2,22,2022,2,0,1,81,86,4,24000000
Morales,330,2,30,2021,1,0,1,81,81,4,17000000
M. Politano,332,2,24,2019,2,1,2,81,84,4,22500000
M. Brozović,333,2,25,2022,2,0,2,81,84,3,18500000
Williams,334,2,24,2025,1,0,2,81,87,4,24500000
A. Correa,335,4,23,2024,2,0,1,81,87,4,24500000
A. Christensen,336,2,22,2022,3,0,2,81,88,2,21500000
T. Strakosha,338,2,23,2019,0,0,1,81,86,1,17000000
P. Zieliński,340,2,24,2021,2,0,3,81,88,4,24500000
Ricardo Pereira,341,2,24,2023,3,0,3,81,85,3,19000000
A. Doucouré,344,2,25,2023,2,0,2,81,85,3,19500000
J. Martínez,345,4,25,2020,1,0,1,81,84,3,22500000
C. Bacca,346,4,31,2022,1,0,3,81,81,3,16000000
A. Plea,347,2,25,2023,1,0,2,81,83,4,22000000
M. Nastasić,349,2,25,2022,3,1,2,81,84,2,18500000
A. Milik,350,2,24,2021,1,1,3,81,88,4,25500000
M. Sabitzer,351,2,24,2022,2,0,2,81,84,3,22500000
B. Mendy,352,2,23,2022,3,1,2,81,86,3,20000000
C. Kramer,353,2,27,2021,2,0,2,81,82,3,17000000
S. Vrsaljko,354,2,26,2019,3,0,2,81,84,3,18000000
T. Hazard,355,2,25,2020,1,0,2,81,83,4,21500000
K. Bellarabi,356,2,28,2021,2,0,3,81,81,4,18000000
S. Zaza,357,2,27,2019,1,1,2,81,82,4,21000000
F. Ghoulam,358,0,27,2022,3,1,2,81,82,3,16500000
B. Lecomte,359,2,27,2021,0,1,2,81,84,1,15000000
K. Volland,361,2,25,2021,1,1,2,81,83,3,22000000
Paco Alcácer,362,2,24,2023,1,0,2,81,85,3,23500000
Vitolo,363,2,28,2022,2,0,2,81,81,3,18000000
C. Aránguiz,366,4,29,2020,2,0,2,81,81,3,17000000
X. Shaqiri,370,2,26,2023,2,1,3,81,81,5,19000000
K. Vogt,373,2,26,2022,3,0,2,81,82,2,17500000
Ander Herrera,374,2,28,2019,2,0,3,81,81,3,17500000
E. Salvio,375,4,27,2019,1,0,2,81,81,4,18500000
Hulk,378,4,31,2020,2,1,4,81,81,4,15500000
L. Stindl,382,2,29,2021,1,0,2,81,81,4,18000000
D. Perotti,384,4,29,2021,1,0,3,81,81,4,17500000
S. Kjær,387,2,29,2021,3,0,3,81,81,2,14000000
S. Bender,388,2,29,2021,3,0,2,81,81,2,14000000
M. Valbuena,389,2,33,2019,2,0,3,81,81,3,11000000
L. Piszczek,392,2,33,2020,3,0,3,81,81,2,7000000
D. Wass,394,2,29,2022,3,0,2,81,81,4,17000000
E. Lamela,395,4,26,2022,2,1,2,81,82,4,21000000
Renato Augusto,398,4,30,2021,2,0,2,81,81,3,16500000
A. Valencia,399,4,32,2019,2,0,2,81,81,3,10000000
João Moutinho,401,2,31,2020,2,0,3,81,81,3,15000000
Borja Valero,402,2,33,2020,2,0,3,81,81,4,11000000
B. Gomis,404,2,32,2020,1,0,3,81,81,4,14000000
Manuel Fernandes,405,2,32,2019,2,0,2,81,81,4,14000000
Raffael,407,4,33,2019,1,0,2,81,81,4,11000000
Nani,408,2,31,2020,2,0,3,81,81,5,15500000
J. Mathieu,410,2,34,2019,3,1,3,81,81,2,5500000
Joaquín,411,2,36,2020,1,0,2,81,81,4,6000000
M. Gómez,412,4,21,2022,1,0,1,80,85,3,20500000
T. Ndombele,414,2,21,2023,2,0,1,80,89,4,22500000
H. Aouar,415,2,20,2023,2,0,1,80,90,4,23500000
Odriozola,417,2,22,2024,3,0,1,80,88,3,18500000
M. Almirón,418,4,24,2019,2,1,1,80,84,4,19500000
Welington Dano,419,4,30,2021,3,1,1,80,80,4,10500000
Everton Andrão,420,4,34,2021,2,0,1,80,80,2,4500000
Oyarzabal,421,2,21,2024,2,1,1,80,87,3,21000000
F. Balbuena,422,4,26,2021,3,0,1,80,83,2,15500000
W. Ndidi,425,0,21,2024,2,0,1,80,85,3,17000000
T. Bakayoko,434,2,23,2019,2,0,2,80,85,3,17000000
M. Dahoud,435,2,22,2022,2,0,2,80,86,4,20000000
Rafa,436,2,25,2021,1,0,2,80,83,4,18500000
K. Baldé,437,0,23,2019,2,0,2,80,85,4,20000000
G. Rulli,438,4,26,2022,0,0,3,80,85,1,14000000
Rony Lopes,440,2,22,2022,2,1,2,80,85,4,20000000
Santi Mina,441,2,22,2021,1,0,1,80,85,3,20000000
K. Demirbay,442,2,24,2022,2,1,2,80,84,4,19500000
N. Tagliafico,445,4,25,2022,3,1,2,80,82,3,15000000
Pacheco,447,2,26,2020,0,1,1,80,83,1,13000000
E. Can,448,2,24,2022,2,0,2,80,85,3,19500000
M. Ginter,450,2,24,2021,3,0,2,80,82,2,15500000
T. Stepanenko,452,2,28,2022,2,1,1,80,80,3,12000000
Z. Feddal,454,0,28,2021,3,1,1,80,80,2,12000000
S. Haller,455,2,24,2021,1,0,1,80,83,3,19000000
Portu,458,2,26,2022,2,0,1,80,81,3,17500000
M. Batshuayi,459,2,24,2019,1,0,2,80,84,4,19500000
E. Zahavi,460,1,30,2020,1,0,1,80,80,4,14500000
T. Vaclík,461,2,29,2021,0,0,1,80,81,1,11500000
Héctor Bellerín,463,2,23,2023,3,0,3,80,85,3,16500000
J. Vestergaard,466,2,25,2022,3,0,2,80,81,2,14500000
J. Murillo,470,4,26,2022,3,0,2,80,84,2,16000000
M. Badelj,471,2,29,2022,2,0,2,80,80,3,11500000
N. Schulz,473,2,25,2020,3,1,1,80,81,3,14500000
M. Uth,475,2,26,2022,1,1,1,80,81,3,17500000
Cristian Tello,476,2,26,2022,2,0,2,80,80,3,16000000
D. Vida,477,2,29,2022,3,0,3,80,80,2,11500000
L. Muriel,478,4,27,2022,1,0,2,80,81,4,17500000
V. Aboubakar,479,0,26,2021,1,0,3,80,82,5,18000000
J. Matip,482,0,26,2020,3,0,2,80,82,2,15000000
Sergi Enrich,484,2,28,2019,1,0,2,80,80,3,15500000
A. Yarmolenko,485,2,28,2022,2,1,3,80,80,4,15000000
Hugo Mallo,486,2,27,2023,3,0,2,80,81,3,13500000
André Almeida,487,2,27,2021,3,0,2,80,80,3,12000000
R. Rodríguez,489,2,25,2021,3,1,3,80,83,4,15500000
R. Pereyra,490,4,27,2021,2,0,2,80,80,4,15500000
Mario Gaspar,491,2,27,2023,3,0,2,80,80,3,12000000
Maicon,492,4,29,2021,3,0,2,80,80,2,11500000
D. Blind,493,2,28,2022,3,1,3,80,80,3,12000000
A. Ljajić,495,2,26,2019,2,0,2,80,81,4,17500000
Canales,496,2,27,2022,2,1,2,80,80,3,15500000
Iago Falqué,497,2,28,2022,1,1,3,80,80,4,15000000
L. de Jong,498,2,27,2021,1,0,2,80,80,2,16000000
Muniain,500,2,25,2024,2,0,2,80,83,4,18500000
Susaeta,501,2,30,2019,1,0,2,80,80,4,14000000
S. Rudy,502,2,28,2022,2,0,2,80,80,3,12000000
K. Trapp,503,2,27,2019,0,0,2,80,81,1,11500000
V. Wanyama,504,0,27,2021,2,0,2,80,82,2,14500000
Camacho,507,2,28,2021,2,0,2,80,81,2,13500000
S. Ulreich,508,2,29,2021,0,0,2,80,80,1,10000000
M. Musacchio,509,4,27,2021,3,0,3,80,80,3,12500000
Alexandre Pato,516,4,28,2019,1,0,3,80,80,4,15500000
Nacho Monreal,518,2,32,2019,3,1,2,80,80,3,8000000
Beñat,519,2,31,2020,2,0,2,80,80,3,12500000
A. Fernández,520,4,32,2019,2,0,2,80,80,4,11000000
S. Romero,524,4,31,2021,0,0,3,80,80,1,9000000
D. Criscito,525,2,31,2023,3,1,2,80,80,3,10000000
Raúl García,528,2,31,2020,2,0,2,80,80,4,13000000
S. Defour,529,2,30,2019,2,0,2,80,80,3,13500000
M. Škrtel,530,2,33,2019,3,0,3,80,80,2,6000000
L. Diarra,533,2,33,2019,2,0,3,80,80,3,6000000
L. Perrin,534,2,32,2020,3,0,2,80,80,2,8500000
Dante,535,4,34,2019,3,1,3,80,80,2,4500000
A. Gignac,536,2,32,2019,1,0,3,80,80,3,12000000
Juanfran,539,2,33,2019,3,0,3,80,80,3,5500000
Santi Cazorla,541,2,33,2019,2,0,3,80,80,5,8500000
Jesús Navas,542,2,32,2021,2,0,2,80,80,3,11500000
J. Mascherano,543,4,34,2019,2,0,4,80,80,2,4500000
A. Mirante,544,2,34,2021,0,0,2,80,80,1,6000000
D. Srna,545,2,36,2019,3,0,3,80,80,3,1700000
B. Schweinsteiger,546,2,33,2019,3,0,4,80,80,3,6000000
Fernando Torres,549,2,34,2019,1,0,3,80,80,3,8000000
S. Sorrentino,550,2,39,2022,0,0,2,80,80,1,1000000
V. Tsygankov,551,2,20,2023,2,1,1,79,86,4,18000000
Rúben Dias,552,2,21,2023,3,0,1,79,85,2,15000000
David Neres,553,4,21,2022,1,1,2,79,86,5,18000000
Raphinha,554,4,21,2022,2,1,1,79,86,4,18000000
L. Martínez,557,4,20,2023,1,0,1,79,86,4,18000000
Luimo Boas Santos,559,4,30,2021,1,0,1,79,79,4,12000000
Gabri Prestão,560,4,26,2021,0,0,1,79,79,1,9000000
Melvin Parrela,561,4,30,2021,2,0,1,79,79,2,9500000
Antônio Chiamuloira,562,4,30,2018,3,1,1,79,79,2,9500000
L. Tousart,567,2,21,2023,2,0,2,79,84,3,14500000
Marcos Llorente,568,2,23,2021,2,0,1,79,87,3,16000000
B. Verbič,569,2,24,2023,2,0,1,79,81,4,15500000
S. Bergwijn,570,2,20,2022,1,0,1,79,86,4,18000000
A. Diallo,571,2,22,2023,3,1,2,79,86,3,15000000
K. Toko-Ekambi,575,0,25,2023,1,0,2,79,80,3,15000000
Granell,576,2,29,2021,3,1,1,79,79,3,12000000
F. Cervi,577,4,24,2023,1,1,2,79,84,5,17000000
J. Weigl,578,2,22,2021,2,0,3,79,84,3,14500000
V. Lindelöf,579,2,23,2021,3,0,2,79,85,3,14500000
A. Rebić,580,2,24,2022,2,0,1,79,82,3,16000000
R. Battaglia,582,4,26,2023,2,0,1,79,80,3,14500000
M. Philipp,583,2,24,2022,1,0,2,79,84,4,17000000
A. Saint-Maximin,584,2,21,2020,1,0,2,79,86,4,18000000
D. Zappacosta,585,2,26,2021,3,0,2,79,81,3,12500000
L. Alario,586,4,25,2022,1,0,2,79,82,3,16000000
D. Benedetto,587,4,28,2021,1,0,2,79,79,3,13000000
M. Meyer,593,2,22,2021,2,0,2,79,83,4,16000000
Bruma,594,2,23,2022,1,0,2,79,83,4,16500000
J. Hofmann,598,2,25,2020,2,0,2,79,80,3,15000000
Sergio Rico,604,2,24,2019,0,0,2,79,83,1,11500000
L. Milivojević,605,2,27,2020,2,0,1,79,81,2,12500000
K. Rekik,607,2,23,2021,3,1,1,79,83,2,14000000
Denis Suárez,608,2,24,2020,2,0,2,79,86,3,17500000
W. Orban,609,2,25,2022,3,0,2,79,81,2,13000000
Mário Rui,610,2,27,2022,3,1,2,79,80,3,11500000
Iñigo Martínez,611,2,27,2023,3,1,2,79,80,2,12000000
K. Zouma,612,2,23,2019,3,0,2,79,83,2,14000000
D. Klaassen,617,2,25,2022,2,0,2,79,81,3,15000000
M. Elyounoussi,618,2,23,2023,2,0,1,79,85,4,17500000
L. Bittencourt,619,2,24,2023,2,0,2,79,82,4,16000000
J. Roussillon,621,2,25,2022,3,1,2,79,84,3,14000000
D. Demme,622,2,26,2021,2,0,1,79,80,3,12000000
J. Veretout,625,2,25,2021,2,0,1,79,84,3,16500000
L. Kurzawa,626,2,25,2020,3,1,2,79,82,4,13000000
G. Ramírez,627,4,27,2020,2,1,2,79,79,4,13000000
C. Tătăruşanu,629,2,32,2019,0,0,2,79,79,1,7000000
D. Sidibé,631,2,25,2022,3,0,2,79,80,3,12000000
Y. Konoplyanka,632,2,28,2020,1,0,2,79,79,4,12500000
S. Berghuis,633,2,26,2021,1,1,2,79,80,3,15000000
H. Vanaken,634,2,25,2020,2,0,1,79,81,4,15500000
Nolito,637,2,31,2020,2,0,3,79,79,4,11000000
Ibai Gómez,639,2,28,2019,2,0,1,79,79,3,12500000
Danilo,640,4,26,2022,3,0,2,79,80,3,12000000
M. Ryan,642,3,26,2022,0,0,1,79,81,1,10500000
Sergio León,643,2,29,2021,1,0,2,79,79,4,12500000
B. Stambouli,644,2,27,2020,3,0,2,79,79,2,10500000
J. Guilavogui,645,2,27,2020,2,0,2,79,80,2,12000000
Sérgio Oliveira,646,2,26,2021,2,0,1,79,82,3,15500000
D. Caligiuri,647,2,30,2020,3,0,2,79,79,3,9000000
Borja García,650,2,27,2022,2,0,1,79,79,3,13000000
Y. Belhanda,651,0,28,2021,2,0,2,79,79,4,12500000
G. Pezzella,652,4,27,2022,3,0,1,79,81,2,12500000
Jaume Costa,653,2,30,2021,3,1,1,79,79,3,9000000
C. Tosun,654,1,27,2022,1,0,2,79,80,3,14500000
Escudero,655,2,28,2021,2,1,1,79,79,3,10000000
Kike García,656,2,28,2021,1,0,1,79,79,3,13000000
Elkeson,657,4,28,2020,1,0,2,79,79,4,13000000
Ricardo Goulart,658,4,27,2020,1,0,2,79,80,4,14500000
J. Guðmundsson,659,2,27,2021,2,1,1,79,79,4,13000000
M. Hitz,661,2,30,2021,0,0,2,79,79,1,8000000
B. Hübner,667,2,28,2021,3,1,2,79,79,2,10000000
Souza,668,4,29,2021,2,0,2,79,79,3,10000000
F. Coquelin,669,2,27,2022,2,0,2,79,80,3,12000000
K. Asamoah,673,0,29,2021,3,1,2,79,79,4,9500000
R. Zieler,674,2,29,2020,0,0,2,79,80,1,10000000
N. Kalinić,676,2,30,2021,1,0,3,79,79,3,12000000
Adrien Silva,678,2,29,2021,2,0,3,79,79,3,12000000
Fernando,679,4,30,2020,2,0,2,79,79,3,9500000
G. Mercado,681,4,31,2019,3,0,1,79,79,2,8500000
N. Petersen,682,2,29,2021,1,0,2,79,79,3,12500000
O. Karnezis,683,2,32,2021,0,0,2,79,79,1,7000000
M. Sakho,684,2,28,2021,3,1,3,79,80,2,11500000
Sidnei,685,4,28,2022,3,0,2,79,80,2,11500000
S. Jovetić,686,2,28,2021,1,0,3,79,79,3,13000000
Eder,687,2,31,2021,1,0,3,79,79,4,11500000
Fabricio,689,2,30,2021,0,0,1,79,79,1,8000000
Kiko Casilla,690,2,31,2020,0,0,2,79,79,1,7500000
Ángel,691,2,31,2020,1,0,1,79,79,3,11500000
M. Schneiderlin,692,2,28,2021,2,0,2,79,79,3,10000000
M. Fellaini,693,2,30,2020,2,0,3,79,79,3,11500000
P. Wernbloom,694,2,32,2021,2,0,2,79,79,3,7000000
S. Mignolet,696,2,30,2021,0,0,3,79,79,1,8000000
N. Şahin,698,1,29,2020,2,1,3,79,79,3,10000000
A. Masiello,700,2,32,2023,3,0,2,79,79,2,7000000
Charles,702,4,34,2019,1,0,1,79,79,4,6500000
H. Ben Arfa,704,2,31,2019,2,1,3,79,79,5,11000000
